Timestamp,Qual sua faixa etária?,Qual Estado reside?,Qual gênero você se identifica?,Qual seu estado civil?,Qual maior grau de escolaridade alcançado até então?,Qual sua renda mensal aproximadamente?,Com que frequência costumava ir à bares?,Com que frequência costuma ir à distribuidoras de bebidas?,"Com que frequência costuma comprar bebidas online (aplicativos de entrega, lojas virtuais etc)?",Você costuma comprar bebidas junto à compras de rotina no supermercado?,Qual a distância média que percorre até o local onde costuma comprar suas bebidas?,Quais aparelhos/dispositivos abaixo você possui (conectados à internet)?,Você gostaria de responder mais algumas poucas questões específicas sobre suas experiências com serviço e atendimento em bares?,Qual a média de pessoas que divide a mesa com você em bares?,Você costuma interagir com desconhecidos e se relacionar com novas pessoas em bares?,Você costuma ter problemas ao dividir a conta em bares e restaurantes?,"Você já vivenciou situações de negligência, racismo, homofobia, preconceito ou algum tipo de exclusão no atendimento em bares?",Você gostaria de receber uma bebida como presente?,Você gostaria de presentear alguém com uma bebida?,Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Atendimento],Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Localização],Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Preço / Promoções],Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Decoração / Layout / Conforto],Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Música ao vivo],Outras observações?,Com que frequência você utiliza de video-chamadas ou teleconferências para falar com seus amigos e familiares?,"Quantas transmissões ao vivo de apresentações artísticas (""lives"") você costuma assistir por semana?",Unnamed: 28,bebida,musica
6/28/2020 20:26:14,18 a 24,Paraná (PR),Masculino,Solteiro(a),Até Ensino Médio Completo,"Até um salário mínimo (até R$ R$ 1.045,00)",A cada três meses,Pelo menos uma vez na semana,Menos de uma vez por ano,"Sim, em poucas situações",Menos de 100 metros,"Smartphone, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Não, em situação alguma","Não, em situação alguma","Não, em situação alguma","Sim, em poucas situações","Sim, em poucas situações",Música ao vivo,Decoração / Layout / Conforto,Localização,Preço / Promoções,Atendimento,,Menos de uma vez por ano,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Stella Artois,Blues
6/28/2020 20:41:24,50 ou mais,Bahia (BA),Feminino,Divorciado(a),Especialização ou maior,"De 3 a 6 salários mínimos (de R$ R$ 3.135,00 a R$ 6.270,00)",Pelo menos uma vez a cada 15 dias,Menos de uma vez por ano,Menos de uma vez por ano,"Sim, na maioria das situações",De 101 metros a 1 quilômetro,"Smartphone, Smart TV, Computador / Laptop / Notebook, Videojogo / Consoles","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, em poucas situações","Não, em situação alguma","Não, em situação alguma","Sim, em todas as situações","Sim, na maioria das situações",Decoração / Layout / Conforto,Preço / Promoções,Localização,Música ao vivo,Atendimento,,Pelo menos uma vez a cada 15 dias,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Pepsi,Indie
6/28/2020 20:42:57,35 à 49,Goiás (GO),Masculino,Casado(a),Especialização ou maior,"Mais de 12 salários mínimos ( mais de R$ 12.540,01)",A cada três meses,Pelo menos uma vez no mês,A cada três meses,"Sim, na maioria das situações",De 1 a 5 quilômetros,"Smartphone, Smart TV, Computador / Laptop / Notebook, Videojogo / Consoles","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, na maioria das situações","Não, em situação alguma","Não, em situação alguma","Sim, em todas as situações","Sim, na maioria das situações",Decoração / Layout / Conforto,Música ao vivo,Localização,Preço / Promoções,Atendimento,"A pergunta ""Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? *"" Está bugada",Pelo menos uma vez a cada 15 dias,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Água Ama,Sertanejo
6/28/2020 20:52:04,25 à 34,Bahia (BA),Masculino,Casado(a),Até Ensino Superior Completo,"De 3 a 6 salários mínimos (de R$ R$ 3.135,00 a R$ 6.270,00)",Pelo menos uma vez a cada 15 dias,Pelo menos uma vez a cada 15 dias,Pelo menos uma vez a cada 15 dias,"Sim, em poucas situações",De 1 a 5 quilômetros,"Smartwatch, Smartphone, Tablet / iPad, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, na maioria das situações","Não, em situação alguma","Não, em situação alguma","Sim, em todas as situações","Sim, na maioria das situações",Música ao vivo,Preço / Promoções,Localização,Decoração / Layout / Conforto,Atendimento,,Pelo menos uma vez na semana,De duas a quatro apresentações,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Brahma,Funk
6/28/2020 20:53:08,50 ou mais,Paraná (PR),Feminino,Divorciado(a),Até Ensino Médio Completo,"De 1 a 3 salários mínimos (de R$ R$ 1.045,01 a R$ 3.135,00)",Pelo menos uma vez a cada 15 dias,Pelo menos uma vez no mês,Menos de uma vez por ano,"Sim, em poucas situações",De 5 a 10 quilômetros,"Smartphone, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, em todas as situações","Não, em situação alguma","Sim, em poucas situações","Sim, em todas as situações","Sim, em todas as situações",Atendimento,Preço / Promoções,Decoração / Layout / Conforto,Música ao vivo,Localização,,Pelo menos uma vez a cada 15 dias,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Brahma,Funk
6/28/2020 20:57:02,35 à 49,Paraná (PR),Masculino,Divorciado(a),Até Ensino Médio Completo,"De 1 a 3 salários mínimos (de R$ R$ 1.045,01 a R$ 3.135,00)",Pelo menos uma vez no mês,A cada três meses,Pelo menos uma vez no mês,"Sim, em poucas situações",De 1 a 5 quilômetros,Smartphone,"Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, em poucas situações","Não, em situação alguma","Não, em situação alguma","Sim, em poucas situações","Não, em situação alguma",1 (pouco ou nada importante),,,,5 (muito importante ou essencial),,Pelo menos uma vez na semana,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Brahma,Blues
6/28/2020 21:01:06,35 à 49,Santa Catarina (SC),Masculino,Casado(a),Até Ensino Superior Completo,"De 3 a 6 salários mínimos (de R$ R$ 3.135,00 a R$ 6.270,00)",Pelo menos uma vez na semana,Pelo menos uma vez na semana,Pelo menos uma vez na semana,"Sim, na maioria das situações",De 101 metros a 1 quilômetro,"Smartphone, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De cinco a nove pessoas,"Sim, em poucas situações","Não, em situação alguma","Não, em situação alguma","Sim, em todas as situações","Sim, na maioria das situações",5 (muito importante ou essencial),4,5 (muito importante ou essencial),3,4,,Pelo menos uma vez no mês,De duas a quatro apresentações,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Skol Beats,Funk
6/28/2020 21:22:43,18 a 24,Rio Grande do Sul (RS),Feminino,Solteiro(a),Até Ensino Médio Completo,"Até um salário mínimo (até R$ R$ 1.045,00)",A cada três meses,Menos de uma vez por ano,Menos de uma vez por ano,"Sim, em poucas situações",De 1 a 5 quilômetros,"Smartphone, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, em poucas situações","Não, em situação alguma","Não, em situação alguma","Sim, na maioria das situações","Sim, em poucas situações",5 (muito importante ou essencial),5 (muito importante ou essencial),5 (muito importante ou essencial),5 (muito importante ou essencial),4,,Menos de uma vez por ano,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Stella Artois,Blues
6/28/2020 21:32:38,25 à 34,Rio Grande do Sul (RS),Feminino,Casado(a),Até Ensino Superior Completo,"De 1 a 3 salários mínimos (de R$ R$ 1.045,01 a R$ 3.135,00)",Pelo menos uma vez na semana,Menos de uma vez por ano,Menos de uma vez por ano,"Sim, na maioria das situações",De 101 metros a 1 quilômetro,"Smartwatch, Smartphone, Tablet / iPad, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De cinco a nove pessoas,"Sim, em poucas situações","Não, em situação alguma","Não, em situação alguma","Sim, em todas as situações","Sim, em todas as situações",3,3,3,3,1 (pouco ou nada importante),,Menos de uma vez por ano,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Pepsi,Sertanejo
6/28/2020 21:42:02,18 a 24,Paraná (PR),Masculino,Solteiro(a),Até Ensino Médio Completo,"De 3 a 6 salários mínimos (de R$ R$ 3.135,00 a R$ 6.270,00)",Pelo menos uma vez na semana,A cada três meses,Menos de uma vez por ano,"Sim, na maioria das situações",De 1 a 5 quilômetros,"Smartphone, Smart TV, Computador / Laptop / Notebook, Videojogo / Consoles","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, na maioria das situações","Sim, em poucas situações","Sim, em poucas situações","Sim, em todas as situações","Sim, na maioria das situações",3,3,5 (muito importante ou essencial),3,3,,Pelo menos uma vez no mês,De duas a quatro apresentações,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Água Ama,Eletrônica
